,GEO_ID,NAME,tot_poverty,pov_150
180,0500000US05137,"Stone County, Arkansas",2449,4509
181,0500000US05139,"Union County, Arkansas",7444,11253
182,0500000US05141,"Van Buren County, Arkansas",3041,5848
183,0500000US05143,"Washington County, Arkansas",36730,62259
184,0500000US05145,"White County, Arkansas",11742,21877
185,0500000US05147,"Woodruff County, Arkansas",1596,2324
186,0500000US05149,"Yell County, Arkansas",3523,7818
187,0500000US06001,"Alameda County, California",161581,249849
188,0500000US06003,"Alpine County, California",205,308
189,0500000US06005,"Amador County, California",3451,6222
190,0500000US06007,"Butte County, California",41974,63905
191,0500000US06009,"Calaveras County, California",5147,8142
192,0500000US06011,"Colusa County, California",2774,4999
193,0500000US06013,"Contra Costa County, California",98595,165356
194,0500000US06015,"Del Norte County, California",4760,7216
195,0500000US06017,"El Dorado County, California",15643,26216
196,0500000US06019,"Fresno County, California",218254,335832
197,0500000US06021,"Glenn County, California",4818,7874
198,0500000US06023,"Humboldt County, California",26674,41447
199,0500000US06025,"Imperial County, California",41100,62322
200,0500000US06027,"Inyo County, California",1635,3045
201,0500000US06029,"Kern County, California",179980,295006
202,0500000US06031,"Kings County, California",24725,40681
203,0500000US06033,"Lake County, California",11753,19033
204,0500000US06035,"Lassen County, California",2830,4862
205,0500000US06037,"Los Angeles County, California",1480446,2485925
206,0500000US06039,"Madera County, California",29273,45868
207,0500000US06041,"Marin County, California",18349,31201
208,0500000US06043,"Mariposa County, California",2616,4208
209,0500000US06045,"Mendocino County, California",15251,23958
210,0500000US06047,"Merced County, California",56217,90824
211,0500000US06049,"Modoc County, California",1618,2501
212,0500000US06051,"Mono County, California",1713,2674
213,0500000US06053,"Monterey County, California",54393,101857
214,0500000US06055,"Napa County, California",10614,19171
215,0500000US06057,"Nevada County, California",10844,18460
216,0500000US06059,"Orange County, California",340048,560719
217,0500000US06061,"Placer County, California",29588,46922
218,0500000US06063,"Plumas County, California",2224,3412
219,0500000US06065,"Riverside County, California",325279,551231
220,0500000US06067,"Sacramento County, California",220713,359432
221,0500000US06069,"San Benito County, California",5061,10641
222,0500000US06071,"San Bernardino County, California",333613,554056
223,0500000US06073,"San Diego County, California",374787,630993
224,0500000US06075,"San Francisco County, California",89030,138726
225,0500000US06077,"San Joaquin County, California",105461,183163
226,0500000US06079,"San Luis Obispo County, California",33261,49448
227,0500000US06081,"San Mateo County, California",51085,85594
228,0500000US06083,"Santa Barbara County, California",57556,97011
229,0500000US06085,"Santa Clara County, California",142534,235509
230,0500000US06087,"Santa Cruz County, California",34419,56115
231,0500000US06089,"Shasta County, California",29423,45800
232,0500000US06091,"Sierra County, California",291,746
233,0500000US06093,"Siskiyou County, California",8102,12372
234,0500000US06095,"Solano County, California",41121,71916
235,0500000US06097,"Sonoma County, California",45418,77025
236,0500000US06099,"Stanislaus County, California",81415,142786
237,0500000US06101,"Sutter County, California",14687,25185
238,0500000US06103,"Tehama County, California",13930,22197
239,0500000US06105,"Trinity County, California",2372,3946
240,0500000US06107,"Tulare County, California",108512,175313
241,0500000US06109,"Tuolumne County, California",6443,10189
242,0500000US06111,"Ventura County, California",74645,138713
243,0500000US06113,"Yolo County, California",39919,55937
244,0500000US06115,"Yuba County, California",11572,19421
245,0500000US08001,"Adams County, Colorado",54159,95720
246,0500000US08003,"Alamosa County, Colorado",3528,5882
247,0500000US08005,"Arapahoe County, Colorado",51542,89820
248,0500000US08007,"Archuleta County, Colorado",1153,2374
249,0500000US08009,"Baca County, Colorado",654,1109
250,0500000US08011,"Bent County, Colorado",1177,1762
251,0500000US08013,"Boulder County, Colorado",36358,52812
252,0500000US08014,"Broomfield County, Colorado",3763,5800
253,0500000US08015,"Chaffee County, Colorado",1776,3283
254,0500000US08017,"Cheyenne County, Colorado",203,358
255,0500000US08019,"Clear Creek County, Colorado",725,1360
256,0500000US08021,"Conejos County, Colorado",1756,3066
257,0500000US08023,"Costilla County, Colorado",1023,1833
258,0500000US08025,"Crowley County, Colorado",1339,1735
259,0500000US08027,"Custer County, Colorado",601,811
260,0500000US08029,"Delta County, Colorado",5379,9290
261,0500000US08031,"Denver County, Colorado",89203,145392
262,0500000US08033,"Dolores County, Colorado",246,350
263,0500000US08035,"Douglas County, Colorado",10275,16633
264,0500000US08037,"Eagle County, Colorado",4354,8017
265,0500000US08039,"Elbert County, Colorado",1230,2774
266,0500000US08041,"El Paso County, Colorado",68548,122157
267,0500000US08043,"Fremont County, Colorado",5226,9221
268,0500000US08045,"Garfield County, Colorado",5009,9017
269,0500000US08047,"Gilpin County, Colorado",286,605
270,0500000US08049,"Grand County, Colorado",1440,2733
271,0500000US08051,"Gunnison County, Colorado",2154,3736
272,0500000US08053,"Hinsdale County, Colorado",84,139
273,0500000US08055,"Huerfano County, Colorado",1030,1602
274,0500000US08057,"Jackson County, Colorado",121,225
275,0500000US08059,"Jefferson County, Colorado",40118,67057
276,0500000US08061,"Kiowa County, Colorado",177,417
277,0500000US08063,"Kit Carson County, Colorado",421,1498
278,0500000US08065,"Lake County, Colorado",1110,2052
279,0500000US08067,"La Plata County, Colorado",4919,8740
280,0500000US08069,"Larimer County, Colorado",38822,59571
281,0500000US08071,"Las Animas County, Colorado",2474,3962
282,0500000US08073,"Lincoln County, Colorado",515,771
283,0500000US08075,"Logan County, Colorado",2701,5595
284,0500000US08077,"Mesa County, Colorado",21032,34501
285,0500000US08079,"Mineral County, Colorado",113,154
286,0500000US08081,"Moffat County, Colorado",2206,3036
287,0500000US08083,"Montezuma County, Colorado",3902,6895
288,0500000US08085,"Montrose County, Colorado",6226,9682
289,0500000US08087,"Morgan County, Colorado",3078,6452
290,0500000US08089,"Otero County, Colorado",4226,6840
291,0500000US08091,"Ouray County, Colorado",344,620
292,0500000US08093,"Park County, Colorado",1293,2502
293,0500000US08095,"Phillips County, Colorado",256,897
294,0500000US08097,"Pitkin County, Colorado",1200,1854
