,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
2105,0500000US39123,"Ottawa County, Ohio",472,38,104,1971,39281,40981
2106,0500000US39125,"Paulding County, Ohio",202,41,77,867,18125,19057
2107,0500000US39127,"Perry County, Ohio",106,56,100,268,34999,35947
2108,0500000US39129,"Pickaway County, Ohio",1822,127,183,755,53232,56804
2109,0500000US39131,"Pike County, Ohio",199,63,77,266,27158,28298
2110,0500000US39133,"Portage County, Ohio",6539,175,2879,2595,147808,161796
2111,0500000US39135,"Preble County, Ohio",205,106,186,302,40424,41561
2112,0500000US39137,"Putnam County, Ohio",101,11,88,2013,32370,34116
2113,0500000US39139,"Richland County, Ohio",9194,182,929,2078,105925,121888
2114,0500000US39141,"Ross County, Ohio",3388,66,422,890,69703,77193
2115,0500000US39143,"Sandusky County, Ohio",1905,124,227,5711,54182,59870
2116,0500000US39145,"Scioto County, Ohio",2159,335,325,964,73052,77366
2117,0500000US39147,"Seneca County, Ohio",1352,73,298,2684,52412,55711
2118,0500000US39149,"Shelby County, Ohio",1450,179,405,722,46226,48949
2119,0500000US39151,"Stark County, Ohio",27197,390,2896,6939,331467,374762
2120,0500000US39153,"Summit County, Ohio",77746,911,14835,10170,430787,541372
2121,0500000US39155,"Trumbull County, Ohio",17085,297,982,3311,181833,204908
2122,0500000US39157,"Tuscarawas County, Ohio",745,233,362,2175,89816,92579
2123,0500000US39159,"Union County, Ohio",1283,158,1574,818,49639,53955
2124,0500000US39161,"Van Wert County, Ohio",333,20,102,823,27515,28501
2125,0500000US39163,"Vinton County, Ohio",29,6,1,28,12746,13128
2126,0500000US39165,"Warren County, Ohio",7922,151,10607,5630,198434,222184
2127,0500000US39167,"Washington County, Ohio",682,240,427,620,58825,61154
2128,0500000US39169,"Wayne County, Ohio",1806,239,1069,2081,109989,115747
2129,0500000US39171,"Williams County, Ohio",414,108,221,1507,35640,37270
2130,0500000US39173,"Wood County, Ohio",3638,274,2079,6761,119403,129418
2131,0500000US39175,"Wyandot County, Ohio",93,0,174,580,21731,22359
2132,0500000US40001,"Adair County, Oklahoma",79,9652,136,1362,9618,22161
2133,0500000US40003,"Alfalfa County, Oklahoma",125,85,0,289,4400,5784
2134,0500000US40005,"Atoka County, Oklahoma",537,1891,84,471,10174,13847
2135,0500000US40007,"Beaver County, Oklahoma",9,27,0,1191,4504,5479
