,GEO_ID,NAME,total_pop,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_18_24,total_male_pop,pop_male_0_5,pop_male_5_10,pop_male_10_15,pop_male_15_20,pop_male_20_25,pop_male_25_30,pop_male_30_35,pop_male_35_40,pop_male_40_45,pop_male_45_50,pop_male_50_55,pop_male_55_60,pop_male_60_65,pop_male_65_70,pop_male_70_75,pop_male_75_80,pop_male_80_85,pop_male_85_90,pop_male_105_110
423,0500000US34011,"Cumberland County, New Jersey",149527,8186,9514,12188,9718,7220,11157,10866,11298,8477,10016,8781,9310,9292,8739,5264,4127,2355,3019,11270,77328,3982,5225,6127,6570,3293,6249,6154,6910,4072,5399,4030,4823,4244,3925,2617,1717,949,1042,5806
424,0500000US34013,"Essex County, New Jersey",798975,52642,49167,56722,50498,49682,55548,54946,54297,56523,55766,54158,49471,48480,35893,27548,21141,12205,14288,69333,384491,26889,25700,28457,25826,24783,27398,26938,25059,28536,26977,26164,22558,23838,16224,11552,8582,4782,4228,34880
425,0500000US34015,"Gloucester County, New Jersey",291636,15262,18052,18191,18702,18873,17748,17124,18698,18471,20116,20713,19562,22800,15771,12737,7156,6507,5153,25981,141734,7729,9338,9043,9400,9839,9027,8502,8986,8896,9624,10148,9501,11259,7330,5698,3124,2580,1710,13340
426,0500000US34017,"Hudson County, New Jersey",672391,46425,37805,33304,32392,38669,68969,72601,57957,49729,41157,39342,36949,34932,25350,21775,15162,9406,10467,52068,334604,23667,18610,17490,16389,19839,35088,37702,30714,25677,20794,19551,18347,16318,12177,8863,6532,3422,3424,27195
427,0500000US34019,"Hunterdon County, New Jersey",124371,5003,6206,7237,7978,7170,6548,5557,6642,7526,8260,10567,9925,11443,8104,6279,4811,3161,1954,9882,61737,2680,2876,3907,4100,4150,3205,2657,3607,3521,4171,4923,4778,5786,4720,2437,2083,1533,603,5656
428,0500000US34021,"Mercer County, New Jersey",367430,20751,20720,22856,28862,26026,23557,22189,23370,22988,24962,25165,23047,25450,17271,14962,9295,7569,8390,41153,178912,10671,12295,10133,12886,13501,12309,11289,11224,11923,12328,12353,11149,12343,8463,6402,3303,3189,3151,20202
429,0500000US34023,"Middlesex County, New Jersey",825062,47111,47911,52137,54991,53271,53764,55377,56405,57197,55491,55399,56991,51255,42308,30908,20696,15806,18044,76973,407890,24173,23621,27304,28872,27065,27225,28241,27551,29877,28034,27505,27683,24856,20504,13566,8449,7154,6210,39309
430,0500000US34025,"Monmouth County, New Jersey",618795,30345,38330,35411,39422,36020,36304,31889,38374,33057,41387,47135,49884,48853,34691,30441,20548,12540,14164,49925,301411,15465,19680,17866,20486,19172,17925,15841,18805,16314,20141,22655,24144,23703,16294,14547,8853,5031,4489,26366
431,0500000US34027,"Morris County, New Jersey",491845,24518,26458,31109,32662,29624,26279,28006,26761,33227,34415,38718,38733,35123,27082,20302,16172,10180,12476,41892,242080,12418,14282,15653,17047,14545,13573,14618,13541,16323,16683,19046,18830,17536,13254,9127,6701,5104,3799,21010
432,0500000US34029,"Ocean County, New Jersey",607186,42960,40147,40978,33854,32744,35156,31799,31517,30021,32071,35492,38249,43869,41865,31636,26809,20497,17522,43993,293379,22522,21451,19911,17610,16111,17850,16215,15155,15879,15539,17356,18185,20612,18917,14014,10973,8231,6848,22322
