,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
251,0500000US19103,"Johnson County, Iowa",3.8,66011.0,99179.0
252,0500000US19113,"Linn County, Iowa",4.0,63559.0,80404.0
253,0500000US19153,"Polk County, Iowa",4.7,66918.0,87952.0
254,0500000US19155,"Pottawattamie County, Iowa",2.8,60056.0,72350.0
255,0500000US19163,"Scott County, Iowa",3.9,65122.0,90210.0
256,0500000US19169,"Story County, Iowa",4.9,63107.0,79726.0
257,0500000US19193,"Woodbury County, Iowa",3.1,58945.0,71578.0
258,0500000US20015,"Butler County, Kansas",4.5,61951.0,82866.0
259,0500000US20045,"Douglas County, Kansas",4.7,64233.0,84149.0
260,0500000US20091,"Johnson County, Kansas",2.6,91771.0,121929.0
261,0500000US20103,"Leavenworth County, Kansas",3.9,77070.0,89525.0
262,0500000US20161,"Riley County, Kansas",7.3,50920.0,66449.0
263,0500000US20173,"Sedgwick County, Kansas",5.3,59716.0,78411.0
264,0500000US20177,"Shawnee County, Kansas",3.1,59441.0,78471.0
265,0500000US20209,"Wyandotte County, Kansas",5.4,46964.0,58167.0
266,0500000US21015,"Boone County, Kentucky",2.1,76443.0,95188.0
267,0500000US21029,"Bullitt County, Kentucky",3.7,65560.0,80659.0
268,0500000US21037,"Campbell County, Kentucky",3.6,66439.0,90484.0
269,0500000US21047,"Christian County, Kentucky",12.9,47445.0,60690.0
270,0500000US21059,"Daviess County, Kentucky",3.7,50964.0,71078.0
271,0500000US21067,"Fayette County, Kentucky",5.3,58356.0,84149.0
272,0500000US21093,"Hardin County, Kentucky",5.4,57463.0,72907.0
273,0500000US21111,"Jefferson County, Kentucky",4.5,59049.0,81043.0
274,0500000US21117,"Kenton County, Kentucky",2.8,68849.0,89473.0
275,0500000US21145,"McCracken County, Kentucky",3.4,45084.0,69078.0
276,0500000US21151,"Madison County, Kentucky",5.5,49421.0,68898.0
277,0500000US21185,"Oldham County, Kentucky",5.2,97968.0,133900.0
278,0500000US21227,"Warren County, Kentucky",4.7,52645.0,74776.0
279,0500000US22005,"Ascension Parish, Louisiana",2.4,85425.0,105975.0
280,0500000US22015,"Bossier Parish, Louisiana",2.7,49962.0,69729.0
281,0500000US22017,"Caddo Parish, Louisiana",6.0,45537.0,69968.0
282,0500000US22019,"Calcasieu Parish, Louisiana",5.6,51246.0,76975.0
283,0500000US22033,"East Baton Rouge Parish, Louisiana",6.6,56451.0,82783.0
284,0500000US22045,"Iberia Parish, Louisiana",2.2,50991.0,63066.0
285,0500000US22051,"Jefferson Parish, Louisiana",4.3,56069.0,74204.0
286,0500000US22055,"Lafayette Parish, Louisiana",5.5,60567.0,83575.0
287,0500000US22057,"Lafourche Parish, Louisiana",6.1,51339.0,68225.0
288,0500000US22063,"Livingston Parish, Louisiana",4.1,62187.0,76802.0
289,0500000US22071,"Orleans Parish, Louisiana",7.8,45615.0,77676.0
290,0500000US22073,"Ouachita Parish, Louisiana",3.5,41137.0,64077.0
291,0500000US22079,"Rapides Parish, Louisiana",3.9,50490.0,68816.0
292,0500000US22097,"St. Landry Parish, Louisiana",6.0,38681.0,53665.0
293,0500000US22103,"St. Tammany Parish, Louisiana",4.2,69076.0,88518.0
294,0500000US22105,"Tangipahoa Parish, Louisiana",5.5,47825.0,65721.0
295,0500000US22109,"Terrebonne Parish, Louisiana",5.5,48446.0,73594.0
296,0500000US23001,"Androscoggin County, Maine",2.4,63813.0,77447.0
297,0500000US23003,"Aroostook County, Maine",6.0,38768.0,52681.0
298,0500000US23005,"Cumberland County, Maine",2.5,76059.0,102890.0
299,0500000US23011,"Kennebec County, Maine",3.1,55389.0,73143.0
300,0500000US23019,"Penobscot County, Maine",3.9,50449.0,69161.0
301,0500000US23031,"York County, Maine",3.9,66648.0,83215.0
302,0500000US24001,"Allegany County, Maryland",6.2,48867.0,59856.0
303,0500000US24003,"Anne Arundel County, Maryland",3.6,101147.0,130006.0
304,0500000US24005,"Baltimore County, Maryland",4.2,77358.0,104484.0
305,0500000US24009,"Calvert County, Maryland",3.2,112380.0,126581.0
306,0500000US24013,"Carroll County, Maryland",2.6,103014.0,119439.0
307,0500000US24015,"Cecil County, Maryland",2.4,76441.0,92059.0
308,0500000US24017,"Charles County, Maryland",3.7,103932.0,124336.0
309,0500000US24021,"Frederick County, Maryland",3.5,103516.0,122496.0
310,0500000US24025,"Harford County, Maryland",2.9,92331.0,113104.0
311,0500000US24027,"Howard County, Maryland",4.5,121618.0,155431.0
312,0500000US24031,"Montgomery County, Maryland",4.4,110389.0,150841.0
313,0500000US24033,"Prince George's County, Maryland",5.5,86290.0,102569.0
314,0500000US24037,"St. Mary's County, Maryland",4.0,87947.0,113054.0
315,0500000US24043,"Washington County, Maryland",5.4,59140.0,78594.0
316,0500000US24045,"Wicomico County, Maryland",5.9,54402.0,76908.0
317,0500000US24510,"Baltimore city, Maryland",7.3,50177.0,75522.0
318,0500000US25001,"Barnstable County, Massachusetts",3.1,85042.0,111887.0
319,0500000US25003,"Berkshire County, Massachusetts",3.8,58895.0,83502.0
320,0500000US25005,"Bristol County, Massachusetts",4.0,70402.0,91524.0
321,0500000US25009,"Essex County, Massachusetts",4.5,83810.0,115702.0
322,0500000US25011,"Franklin County, Massachusetts",5.1,60018.0,78555.0
323,0500000US25013,"Hampden County, Massachusetts",4.4,60161.0,81547.0
324,0500000US25015,"Hampshire County, Massachusetts",4.3,74778.0,93705.0
325,0500000US25017,"Middlesex County, Massachusetts",3.1,107056.0,142727.0
326,0500000US25021,"Norfolk County, Massachusetts",3.2,107361.0,143929.0
327,0500000US25023,"Plymouth County, Massachusetts",4.4,90880.0,120462.0
328,0500000US25025,"Suffolk County, Massachusetts",4.5,77558.0,116061.0
329,0500000US25027,"Worcester County, Massachusetts",4.4,78345.0,101636.0
330,0500000US26005,"Allegan County, Michigan",2.0,66278.0,78236.0
331,0500000US26017,"Bay County, Michigan",4.5,49610.0,67223.0
332,0500000US26021,"Berrien County, Michigan",5.0,50153.0,76451.0
333,0500000US26025,"Calhoun County, Michigan",5.6,49055.0,68474.0
334,0500000US26037,"Clinton County, Michigan",3.1,69651.0,90001.0
335,0500000US26045,"Eaton County, Michigan",4.3,65409.0,83245.0
336,0500000US26049,"Genesee County, Michigan",8.6,50389.0,67405.0
337,0500000US26055,"Grand Traverse County, Michigan",3.1,65266.0,89263.0
338,0500000US26065,"Ingham County, Michigan",4.9,54395.0,73701.0
339,0500000US26073,"Isabella County, Michigan",7.0,45201.0,62070.0
340,0500000US26075,"Jackson County, Michigan",5.2,55124.0,72708.0
341,0500000US26077,"Kalamazoo County, Michigan",4.7,56441.0,79173.0
342,0500000US26081,"Kent County, Michigan",3.8,66532.0,87827.0
343,0500000US26087,"Lapeer County, Michigan",4.8,66263.0,81767.0
344,0500000US26091,"Lenawee County, Michigan",5.6,53865.0,69443.0
345,0500000US26093,"Livingston County, Michigan",4.1,86512.0,108976.0
346,0500000US26099,"Macomb County, Michigan",4.8,64947.0,80511.0
347,0500000US26103,"Marquette County, Michigan",5.0,55148.0,68330.0
348,0500000US26111,"Midland County, Michigan",3.3,69872.0,91373.0
349,0500000US26115,"Monroe County, Michigan",4.9,62839.0,82402.0
350,0500000US26121,"Muskegon County, Michigan",6.7,50366.0,66691.0
351,0500000US26125,"Oakland County, Michigan",4.1,81190.0,111724.0
352,0500000US26139,"Ottawa County, Michigan",2.8,68817.0,88831.0
353,0500000US26145,"Saginaw County, Michigan",5.2,48303.0,70446.0
354,0500000US26147,"St. Clair County, Michigan",5.8,59837.0,76638.0
355,0500000US26155,"Shiawassee County, Michigan",5.0,55249.0,70485.0
356,0500000US26159,"Van Buren County, Michigan",5.3,60549.0,70135.0
357,0500000US26161,"Washtenaw County, Michigan",3.0,76576.0,107685.0
358,0500000US26163,"Wayne County, Michigan",6.6,50753.0,70465.0
359,0500000US27003,"Anoka County, Minnesota",3.4,83353.0,101333.0
360,0500000US27013,"Blue Earth County, Minnesota",2.6,61133.0,75171.0
361,0500000US27019,"Carver County, Minnesota",3.2,101434.0,127548.0
362,0500000US27035,"Crow Wing County, Minnesota",3.2,60534.0,74086.0
363,0500000US27037,"Dakota County, Minnesota",3.9,88864.0,109318.0
364,0500000US27053,"Hennepin County, Minnesota",3.2,82369.0,112406.0
365,0500000US27109,"Olmsted County, Minnesota",2.1,80096.0,106347.0
366,0500000US27123,"Ramsey County, Minnesota",3.6,68871.0,90789.0
367,0500000US27131,"Rice County, Minnesota",3.4,72469.0,94139.0
368,0500000US27137,"St. Louis County, Minnesota",3.2,60434.0,74937.0
369,0500000US27139,"Scott County, Minnesota",2.4,108761.0,132258.0
370,0500000US27141,"Sherburne County, Minnesota",2.5,96210.0,112341.0
371,0500000US27145,"Stearns County, Minnesota",4.1,66558.0,82412.0
372,0500000US27163,"Washington County, Minnesota",2.5,100596.0,131166.0
373,0500000US27171,"Wright County, Minnesota",1.0,91707.0,104504.0
374,0500000US28033,"DeSoto County, Mississippi",4.5,66078.0,82611.0
375,0500000US28035,"Forrest County, Mississippi",6.7,39063.0,57488.0
376,0500000US28047,"Harrison County, Mississippi",8.4,50119.0,65457.0
377,0500000US28049,"Hinds County, Mississippi",8.5,44964.0,61797.0
378,0500000US28059,"Jackson County, Mississippi",9.7,52476.0,76123.0
379,0500000US28067,"Jones County, Mississippi",1.8,37594.0,60497.0
380,0500000US28075,"Lauderdale County, Mississippi",3.4,37497.0,60357.0
381,0500000US28081,"Lee County, Mississippi",4.5,49715.0,74109.0
382,0500000US28089,"Madison County, Mississippi",3.8,68171.0,96063.0
383,0500000US28121,"Rankin County, Mississippi",4.9,67012.0,82605.0
384,0500000US29019,"Boone County, Missouri",4.2,57013.0,77332.0
385,0500000US29021,"Buchanan County, Missouri",3.5,46922.0,62181.0
386,0500000US29031,"Cape Girardeau County, Missouri",3.6,57908.0,76207.0
387,0500000US29037,"Cass County, Missouri",3.3,72819.0,89307.0
388,0500000US29043,"Christian County, Missouri",1.8,62765.0,78788.0
389,0500000US29047,"Clay County, Missouri",3.6,70253.0,85262.0
390,0500000US29051,"Cole County, Missouri",2.1,61371.0,76584.0
391,0500000US29071,"Franklin County, Missouri",4.7,60953.0,74262.0
392,0500000US29077,"Greene County, Missouri",3.3,43752.0,63870.0
393,0500000US29095,"Jackson County, Missouri",3.4,57936.0,75915.0
394,0500000US29097,"Jasper County, Missouri",5.6,45010.0,60613.0
395,0500000US29099,"Jefferson County, Missouri",5.0,69009.0,79374.0
396,0500000US29165,"Platte County, Missouri",4.9,81712.0,100478.0
397,0500000US29183,"St. Charles County, Missouri",2.2,89146.0,106947.0
398,0500000US29187,"St. Francois County, Missouri",7.2,42390.0,59361.0
399,0500000US29189,"St. Louis County, Missouri",3.6,70022.0,103189.0
400,0500000US29510,"St. Louis city, Missouri",5.2,47176.0,64422.0
401,0500000US30013,"Cascade County, Montana",2.5,51227.0,64362.0
402,0500000US30029,"Flathead County, Montana",3.7,62588.0,78594.0
403,0500000US30031,"Gallatin County, Montana",3.6,75418.0,97931.0
404,0500000US30049,"Lewis and Clark County, Montana",5.0,67616.0,88558.0
405,0500000US30063,"Missoula County, Montana",5.0,57347.0,78557.0
406,0500000US30111,"Yellowstone County, Montana",3.3,61186.0,88264.0
407,0500000US31055,"Douglas County, Nebraska",4.3,67133.0,89637.0
408,0500000US31109,"Lancaster County, Nebraska",3.6,61175.0,84839.0
409,0500000US31153,"Sarpy County, Nebraska",2.9,83720.0,100778.0
410,0500000US32003,"Clark County, Nevada",5.3,62107.0,85925.0
411,0500000US32031,"Washoe County, Nevada",4.8,71881.0,97948.0
412,0500000US33005,"Cheshire County, New Hampshire",2.3,66088.0,80523.0
413,0500000US33009,"Grafton County, New Hampshire",1.9,60588.0,89633.0
414,0500000US33011,"Hillsborough County, New Hampshire",3.7,83626.0,104958.0
415,0500000US33013,"Merrimack County, New Hampshire",2.4,76218.0,93295.0
416,0500000US33015,"Rockingham County, New Hampshire",2.6,91249.0,122403.0
417,0500000US33017,"Strafford County, New Hampshire",3.2,71765.0,91811.0
418,0500000US34001,"Atlantic County, New Jersey",5.8,63389.0,93192.0
419,0500000US34003,"Bergen County, New Jersey",3.3,108827.0,147611.0
420,0500000US34005,"Burlington County, New Jersey",4.4,88797.0,114940.0
421,0500000US34007,"Camden County, New Jersey",6.0,73672.0,100804.0
422,0500000US34009,"Cape May County, New Jersey",4.9,69980.0,98993.0
423,0500000US34011,"Cumberland County, New Jersey",7.6,54587.0,82821.0
424,0500000US34013,"Essex County, New Jersey",7.0,64626.0,106759.0
425,0500000US34015,"Gloucester County, New Jersey",4.2,89447.0,107975.0
426,0500000US34017,"Hudson County, New Jersey",3.1,78808.0,110580.0
427,0500000US34019,"Hunterdon County, New Jersey",4.8,116155.0,154256.0
428,0500000US34021,"Mercer County, New Jersey",5.4,79492.0,115317.0
