,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
357,0500000US26163,"Wayne County, Michigan",7.9,46390.0,66287.0
358,0500000US27003,"Anoka County, Minnesota",3.2,82492.0,97645.0
359,0500000US27013,"Blue Earth County, Minnesota",1.5,58616.0,74210.0
360,0500000US27019,"Carver County, Minnesota",1.8,100324.0,126528.0
361,0500000US27037,"Dakota County, Minnesota",3.1,86302.0,106417.0
362,0500000US27053,"Hennepin County, Minnesota",3.7,76052.0,109964.0
363,0500000US27109,"Olmsted County, Minnesota",2.0,75327.0,100705.0
364,0500000US27123,"Ramsey County, Minnesota",4.0,62919.0,88939.0
365,0500000US27131,"Rice County, Minnesota",6.0,65839.0,82287.0
366,0500000US27137,"St. Louis County, Minnesota",4.5,53550.0,69677.0
367,0500000US27139,"Scott County, Minnesota",3.0,100963.0,118896.0
368,0500000US27141,"Sherburne County, Minnesota",2.0,80643.0,89624.0
369,0500000US27145,"Stearns County, Minnesota",5.0,60669.0,78545.0
370,0500000US27163,"Washington County, Minnesota",1.8,95124.0,121670.0
371,0500000US27171,"Wright County, Minnesota",1.5,88359.0,101340.0
372,0500000US28033,"DeSoto County, Mississippi",5.8,68385.0,79336.0
373,0500000US28035,"Forrest County, Mississippi",6.2,38837.0,58042.0
374,0500000US28047,"Harrison County, Mississippi",10.2,45042.0,65158.0
375,0500000US28049,"Hinds County, Mississippi",8.4,45459.0,58036.0
376,0500000US28059,"Jackson County, Mississippi",9.9,50546.0,62412.0
377,0500000US28067,"Jones County, Mississippi",2.4,49393.0,59227.0
378,0500000US28075,"Lauderdale County, Mississippi",8.0,37971.0,54725.0
379,0500000US28081,"Lee County, Mississippi",7.6,53062.0,69878.0
380,0500000US28089,"Madison County, Mississippi",2.2,75992.0,111693.0
381,0500000US28121,"Rankin County, Mississippi",3.6,66480.0,81922.0
382,0500000US29019,"Boone County, Missouri",4.6,54356.0,74844.0
383,0500000US29021,"Buchanan County, Missouri",4.9,55020.0,65793.0
384,0500000US29031,"Cape Girardeau County, Missouri",4.0,49844.0,62336.0
385,0500000US29037,"Cass County, Missouri",3.8,71114.0,83313.0
386,0500000US29043,"Christian County, Missouri",2.8,56717.0,70756.0
387,0500000US29047,"Clay County, Missouri",4.2,68269.0,86398.0
388,0500000US29051,"Cole County, Missouri",3.1,63568.0,80749.0
389,0500000US29071,"Franklin County, Missouri",4.2,58209.0,77029.0
390,0500000US29077,"Greene County, Missouri",3.8,43771.0,62445.0
391,0500000US29095,"Jackson County, Missouri",4.1,55929.0,74371.0
392,0500000US29097,"Jasper County, Missouri",5.5,46617.0,60908.0
393,0500000US29099,"Jefferson County, Missouri",4.3,65246.0,81128.0
394,0500000US29165,"Platte County, Missouri",3.8,80468.0,104088.0
395,0500000US29183,"St. Charles County, Missouri",3.3,81663.0,99389.0
