,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150
257,0500000US19193,"Woodbury County, Iowa",100212,59015,15168,21986
258,0500000US20015,"Butler County, Kansas",63328,36235,10416,11603
259,0500000US20045,"Douglas County, Kansas",114055,75802,16012,26602
260,0500000US20091,"Johnson County, Kansas",595909,365551,87845,55089
261,0500000US20103,"Leavenworth County, Kansas",75850,45810,11657,10551
262,0500000US20161,"Riley County, Kansas",64060,45520,6778,20860
263,0500000US20173,"Sedgwick County, Kansas",508791,304577,75484,99517
264,0500000US20177,"Shawnee County, Kansas",172033,100752,31737,26441
265,0500000US20209,"Wyandotte County, Kansas",163799,98323,20229,54368
266,0500000US21015,"Boone County, Kentucky",131133,80239,18193,15759
267,0500000US21029,"Bullitt County, Kentucky",81080,50264,13452,11461
268,0500000US21037,"Campbell County, Kentucky",90333,56074,14974,15195
269,0500000US21047,"Christian County, Kentucky",63975,36285,8698,22257
270,0500000US21059,"Daviess County, Kentucky",98704,57475,16989,27163
271,0500000US21067,"Fayette County, Kentucky",310470,201841,42812,76210
272,0500000US21093,"Hardin County, Kentucky",106800,65751,15933,18525
273,0500000US21111,"Jefferson County, Kentucky",750585,460622,124667,166002
274,0500000US21117,"Kenton County, Kentucky",165262,101999,24049,29883
275,0500000US21145,"McCracken County, Kentucky",64066,37115,12278,16423
276,0500000US21151,"Madison County, Kentucky",86053,54380,12749,24287
277,0500000US21185,"Oldham County, Kentucky",63120,37211,9530,4857
278,0500000US21227,"Warren County, Kentucky",125327,79178,16318,28727
279,0500000US22005,"Ascension Parish, Louisiana",125435,76024,16135,16967
280,0500000US22015,"Bossier Parish, Louisiana",123789,75957,17747,33605
281,0500000US22017,"Caddo Parish, Louisiana",235478,138707,41295,83711
282,0500000US22019,"Calcasieu Parish, Louisiana",200295,118613,30690,60236
283,0500000US22033,"East Baton Rouge Parish, Louisiana",430841,268922,62633,115418
284,0500000US22045,"Iberia Parish, Louisiana",69016,40784,10780,21304
285,0500000US22051,"Jefferson Parish, Louisiana",428350,258740,75690,96360
286,0500000US22055,"Lafayette Parish, Louisiana",238960,149689,32405,63035
287,0500000US22057,"Lafourche Parish, Louisiana",94464,57090,15699,27736
288,0500000US22063,"Livingston Parish, Louisiana",139441,85287,18755,28883
289,0500000US22071,"Orleans Parish, Louisiana",379999,244862,59203,124521
290,0500000US22073,"Ouachita Parish, Louisiana",146054,85318,23116,52316
291,0500000US22079,"Rapides Parish, Louisiana",126369,73819,20738,34626
292,0500000US22097,"St. Landry Parish, Louisiana",80164,46655,13273,30241
293,0500000US22103,"St. Tammany Parish, Louisiana",257709,151866,44769,50813
294,0500000US22105,"Tangipahoa Parish, Louisiana",131388,79467,19474,42382
295,0500000US22109,"Terrebonne Parish, Louisiana",108393,65228,16301,31821
296,0500000US23001,"Androscoggin County, Maine",104940,63721,18608,18396
297,0500000US23003,"Aroostook County, Maine",64365,37121,15760,18938
298,0500000US23005,"Cumberland County, Maine",286076,179203,54967,37817
299,0500000US23011,"Kennebec County, Maine",118195,72270,24114,22937
300,0500000US23019,"Penobscot County, Maine",144971,90990,28410,30652
301,0500000US23031,"York County, Maine",204512,124379,42921,29593
302,0500000US24001,"Allegany County, Maryland",61652,36693,13505,15365
303,0500000US24003,"Anne Arundel County, Maryland",562826,350125,85210,50885
304,0500000US24005,"Baltimore County, Maryland",807497,490015,140720,117503
